"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 11:43:15 BDT 2024","Thu Jul 04 11:43:16 BDT 2024","1148","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutCredentials","testLoginWithoutCredentials",""
"passed","Thu Jul 04 11:43:14 BDT 2024","Thu Jul 04 11:43:15 BDT 2024","979","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutCredentials","testLoginWithoutCredentials",""
"passed","Thu Jul 04 11:43:09 BDT 2024","Thu Jul 04 11:43:11 BDT 2024","1108","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginPageInvalidPassword","testLoginPageInvalidPassword",""
"passed","Thu Jul 04 11:43:02 BDT 2024","Thu Jul 04 11:43:06 BDT 2024","4689","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithValidCredentials","testLoginWithValidCredentials",""
"passed","Thu Jul 04 11:43:07 BDT 2024","Thu Jul 04 11:43:08 BDT 2024","901","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginPageWithoutUserName","testLoginPageWithoutUserName",""
"passed","Thu Jul 04 11:43:12 BDT 2024","Thu Jul 04 11:43:12 BDT 2024","915","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutCredentials","testLoginWithoutCredentials",""
"passed","Thu Jul 04 11:43:08 BDT 2024","Thu Jul 04 11:43:09 BDT 2024","1024","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginPageInvalidUserNameAndPassword","testLoginPageInvalidUserNameAndPassword",""
"passed","Thu Jul 04 11:43:06 BDT 2024","Thu Jul 04 11:43:07 BDT 2024","717","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginPageWithoutCredentials","testLoginPageWithoutCredentials",""
"passed","Thu Jul 04 11:43:11 BDT 2024","Thu Jul 04 11:43:11 BDT 2024","824","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutCredentials","testLoginWithoutCredentials",""
"passed","Thu Jul 04 11:43:13 BDT 2024","Thu Jul 04 11:43:14 BDT 2024","1004","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.DemoLoginTest","testcases.DemoLoginTest","testLoginWithoutCredentials","testLoginWithoutCredentials",""
"passed","Thu Jul 04 11:43:18 BDT 2024","Thu Jul 04 11:43:18 BDT 2024","543","All Test Suite","C:/Usersbasicjavajavabasicm1/PageObjectModelRedo/src/test/java/testcases","testcases.TestProductPage","testcases.TestProductPage","testAddToCartButton","testAddToCartButton",""
